year,month,pagecount_all_views,pagecount_desktop_views,pagecount_mobile_views,pageview_all_views,pageview_desktop_views,pageview_mobile_views
2007,12,2998,2998,0,0,0,0
2008,01,4930,4930,0,0,0,0
2008,02,4818,4818,0,0,0,0
2008,03,4955,4955,0,0,0,0
2008,04,5159,5159,0,0,0,0
2008,05,5584,5584,0,0,0,0
2008,06,5712,5712,0,0,0,0
2008,07,5306,5306,0,0,0,0
2008,08,5140,5140,0,0,0,0
2008,09,5479,5479,0,0,0,0
2008,10,5679,5679,0,0,0,0
2008,11,5415,5415,0,0,0,0
2008,12,5211,5211,0,0,0,0
2009,01,5802,5802,0,0,0,0
2009,02,5547,5547,0,0,0,0
2009,03,6295,6295,0,0,0,0
2009,04,5988,5988,0,0,0,0
2009,05,6267,6267,0,0,0,0
2009,06,5818,5818,0,0,0,0
2009,07,5801,5801,0,0,0,0
2009,08,5790,5790,0,0,0,0
2009,09,4057,4057,0,0,0,0
2009,10,6016,6016,0,0,0,0
2009,11,5768,5768,0,0,0,0
2009,12,5426,5426,0,0,0,0
2010,01,5703,5703,0,0,0,0
2010,02,5762,5762,0,0,0,0
2010,03,6661,6661,0,0,0,0
2010,04,6618,6618,0,0,0,0
2010,05,6410,6410,0,0,0,0
2010,06,4898,4898,0,0,0,0
2010,07,5296,5296,0,0,0,0
2010,08,7381,7381,0,0,0,0
2010,09,7546,7546,0,0,0,0
2010,10,10172,10172,0,0,0,0
2010,11,6948,6948,0,0,0,0
2010,12,7001,7001,0,0,0,0
2011,01,7568,7568,0,0,0,0
2011,02,6906,6906,0,0,0,0
2011,03,7326,7326,0,0,0,0
2011,04,6835,6835,0,0,0,0
2011,05,7009,7009,0,0,0,0
2011,06,6536,6536,0,0,0,0
2011,07,6571,6571,0,0,0,0
2011,08,6514,6514,0,0,0,0
2011,09,5837,5837,0,0,0,0
2011,10,6974,6974,0,0,0,0
2011,11,7507,7507,0,0,0,0
2011,12,6396,6396,0,0,0,0
2012,01,7808,7808,0,0,0,0
2012,02,7530,7530,0,0,0,0
2012,03,7358,7358,0,0,0,0
2012,04,7220,7220,0,0,0,0
2012,05,7784,7784,0,0,0,0
2012,06,7524,7524,0,0,0,0
2012,07,7819,7819,0,0,0,0
2012,08,7885,7885,0,0,0,0
2012,09,7913,7913,0,0,0,0
2012,10,8379,8379,0,0,0,0
2012,11,8219,8219,0,0,0,0
2012,12,8033,8033,0,0,0,0
2013,01,9126,9126,0,0,0,0
2013,02,8100,8100,0,0,0,0
2013,03,8701,8701,0,0,0,0
2013,04,8049,8049,0,0,0,0
2013,05,8089,8089,0,0,0,0
2013,06,7759,7759,0,0,0,0
2013,07,8237,8237,0,0,0,0
2013,08,9306,9306,0,0,0,0
2013,09,9985,9985,0,0,0,0
2013,10,10775,10775,0,0,0,0
2013,11,10414,10414,0,0,0,0
2013,12,7102,7102,0,0,0,0
2014,01,7026,7026,0,0,0,0
2014,02,6718,6718,0,0,0,0
2014,03,7464,7464,0,0,0,0
2014,04,7216,7216,0,0,0,0
2014,05,7543,7543,0,0,0,0
2014,06,6577,6577,0,0,0,0
2014,07,6761,6761,0,0,0,0
2014,08,6687,6687,0,0,0,0
2014,09,7564,7564,0,0,0,0
2014,10,9668,6577,3091,0,0,0
2014,11,9180,6153,3027,0,0,0
2014,12,9108,5830,3278,0,0,0
2015,01,9588,6103,3485,0,0,0
2015,02,8693,5602,3091,0,0,0
2015,03,9676,6346,3330,0,0,0
2015,04,9420,6198,3222,0,0,0
2015,05,9657,6323,3334,0,0,0
2015,06,8203,5165,3038,0,0,0
2015,07,8483,5229,3254,7664,4376,3288
2015,08,8303,5035,3268,7633,4332,3301
2015,09,8581,5409,3172,7654,4485,3169
2015,10,8781,5535,3246,7744,4477,3267
2015,11,8514,5296,3218,7523,4287,3236
2015,12,8651,5264,3387,7475,4100,3375
2016,01,9308,5569,3739,8153,4436,3717
2016,02,8680,5347,3333,7584,4250,3334
2016,03,8826,5407,3419,7671,4286,3385
2016,04,8873,5572,3301,7407,4149,3258
2016,05,8748,5330,3418,7585,4191,3394
2016,06,8347,4975,3372,7241,3888,3353
2016,07,8863,5363,3500,7833,4337,3496
2016,08,1393,913,480,8210,4695,3515
2016,09,0,0,0,7528,4135,3393
2016,10,0,0,0,7870,4361,3509
2016,11,0,0,0,7982,4392,3590
2016,12,0,0,0,7984,4209,3775
2017,01,0,0,0,8752,4521,4231
2017,02,0,0,0,7737,4026,3711
2017,03,0,0,0,8222,4319,3903
2017,04,0,0,0,7590,3951,3639
2017,05,0,0,0,7872,4187,3685
2017,06,0,0,0,7123,3604,3519
2017,07,0,0,0,7289,3565,3724
2017,08,0,0,0,7196,3575,3621
2017,09,0,0,0,7077,3547,3530
2017,10,0,0,0,7579,3907,3672
2017,11,0,0,0,7485,3816,3669
2017,12,0,0,0,7470,3640,3830
2018,01,0,0,0,8369,4111,4258
2018,02,0,0,0,7359,3634,3725
2018,03,0,0,0,8014,3965,4049
2018,04,0,0,0,7688,3762,3926
2018,05,0,0,0,7763,3675,4088
2018,06,0,0,0,7254,3278,3976
2018,07,0,0,0,7722,3457,4265
2018,08,0,0,0,7585,3399,4186
2018,09,0,0,0,7409,3433,3976
