article_name,country,revision_id,population,article_quality
Gladys Lundwe,Zambia,757566606,17.7,Stub
Mwamba Luchembe,Zambia,764848643,17.7,Stub
Thandiwe Banda,Zambia,768166426,17.7,Start
Sylvester Chisembele,Zambia,776082926,17.7,C
Victoria Kalima,Zambia,776530837,17.7,Start
Margaret Mwanakatwe,Zambia,779747587,17.7,Start
Nkandu Luo,Zambia,779747961,17.7,Start
Susan Nakazwe,Zambia,779748181,17.7,Start
Catherine Namugala,Zambia,779748285,17.7,Start
Edith Nawakwi,Zambia,779748522,17.7,Start
Joyce Nonde-Simukoko,Zambia,779748628,17.7,Start
Gladys Nyirongo,Zambia,779748837,17.7,C
Vera Tembo,Zambia,779748931,17.7,C
Ompie Nkumbula-Lieventhal,Zambia,790011468,17.7,Stub
Besnat Jere,Zambia,791225634,17.7,Stub
Esther Lungu,Zambia,792296625,17.7,C
Inonge Wina,Zambia,794006130,17.7,Start
Maureen Mwanawasa,Zambia,795820299,17.7,Start
First Lady of Zambia,Zambia,796467991,17.7,Start
Jean Kapata,Zambia,797469872,17.7,Start
Peter Sinkamba,Zambia,799512628,17.7,Start
Gwendoline Konie,Zambia,803304465,17.7,Start
Kenneth Kaunda,Zambia,805875783,17.7,C
Inonge Mbikusita-Lewanika,Zambia,805993958,17.7,Start
Yobert K. Shamapande,Zambia,806345311,17.7,C
Bir I of Kanem,Chad,355319463,15.4,Stub
Abdullah II of Kanem,Chad,498683267,15.4,Stub
Salmama II of Kanem,Chad,565745353,15.4,Stub
Kuri I of Kanem,Chad,565745365,15.4,Stub
Mohammed I of Kanem,Chad,565745375,15.4,Stub
Kuri II of Kanem,Chad,669719757,15.4,Stub
Bir II of Kanem,Chad,670893206,15.4,Stub
Mahamat Hissene,Chad,693055898,15.4,Stub
Othman I,Chad,705432607,15.4,Stub
Alphonse Kotiga,Chad,707593108,15.4,Stub
Oueddei Kichidemi,Chad,708346649,15.4,Start
Dunama I,Chad,710675092,15.4,Stub
Ahmad (Kanem-Bornu king),Chad,711388267,15.4,Stub
Djibrine Kerallah,Chad,712971263,15.4,Stub
Maurice Ngangtar,Chad,712971315,15.4,Stub
Idriss Miskine,Chad,712971738,15.4,Stub
Laoukein Kourayo Médard,Chad,716886170,15.4,Stub
Nadji Madou,Chad,716886788,15.4,Stub
Noël Milarew Odingar,Chad,716891799,15.4,Start
Yaya Dillo Djérou,Chad,717733209,15.4,Stub
Acheikh Ibn-Oumar,Chad,719821590,15.4,Start
Quatre Sou Quatre,Chad,720066754,15.4,Stub
Ali Gazi,Chad,722563340,15.4,Stub
Mahamat Djarma Khatir,Chad,725132042,15.4,Stub
Dunama IX Lefiami,Chad,731749611,15.4,Stub
Dawud of Kanem,Chad,736550266,15.4,Stub
Ahmed Koulamallah,Chad,738855197,15.4,Start
Abbo Nassour,Chad,741369486,15.4,B
Abdel Kader Baba-Laddé,Chad,742213176,15.4,Stub
Hummay,Chad,747271475,15.4,Stub
Ngarlejy Yorongar,Chad,751304544,15.4,C
Saleh Kezabo,Chad,751380073,15.4,Stub
Bourkou Louise Kabo,Chad,757072468,15.4,Start
Brahim Koulamallah,Chad,757802238,15.4,Stub
Saadie Goukouni Weddeye,Chad,757842614,15.4,Start
Mahamoud Adam Béchir,Chad,762579466,15.4,Start
Kalthouma Nguembang,Chad,762816132,15.4,Stub
Djidingar Dono Ngardoum,Chad,764133533,15.4,Stub
Template:ChadPMs,Chad,768123377,15.4,Stub
Template:ChadPres,Chad,770535091,15.4,Stub
Youssouf Saleh Abbas,Chad,771052289,15.4,B
Koibla Djimasta,Chad,774223245,15.4,Start
Nassour Guelendouksia Ouaido,Chad,774223248,15.4,C
Joseph Brahim Seid,Chad,777478442,15.4,Stub
Joseph Yodoyman,Chad,777550078,15.4,Start
Antoine Bangui,Chad,782638002,15.4,Start
Ibrahim IV of Bornu,Chad,785614014,15.4,Stub
Hadjé Halimé,Chad,786449636,15.4,C
Youssouf Togoïmi,Chad,787390241,15.4,Start
Adoum Younousmi,Chad,787719236,15.4,Start
François Tombalbaye,Chad,787738541,15.4,C
Ahmat Hassaballah Soubiane,Chad,787910771,15.4,Stub
Ahmad Allam-Mi,Chad,787921293,15.4,Start
Laotegguelnodji Koumtog,Chad,788009613,15.4,Stub
Mahamat Ali Adoum,Chad,788014671,15.4,Start
Mahamat Saleh Annadif,Chad,788658822,15.4,C
Mohamed Bechir-Sow,Chad,788827248,15.4,Stub
Gontchomé Sahoulba,Chad,788828388,15.4,Start
Gabriel Lisette,Chad,788828519,15.4,Start
Ali II of Bornu,Chad,788999424,15.4,Stub
Arabi El Goni,Chad,789126126,15.4,Stub
Dunama Dabbalemi,Chad,789935196,15.4,Start
Idris Alooma,Chad,792734868,15.4,Start
Mahamat Nouri,Chad,792954115,15.4,FA
Idriss Ndele Moussa,Chad,796654025,15.4,Stub
Mbaydoum Simeon,Chad,796690873,15.4,Stub
Ngarindo Milengar,Chad,796700718,15.4,Stub
List of Prime Ministers of Chad,Chad,797747674,15.4,Start
Idriss Déby,Chad,798286150,15.4,C
Saleh Kebzabo,Chad,798626040,15.4,C
Moussa Faki,Chad,799043301,15.4,C
Template:Chad-politician-stub,Chad,799373925,15.4,Stub
Kalzeubet Pahimi Deubet,Chad,799413193,15.4,Start
Haroun Kabadi,Chad,799447895,15.4,Start
