Party,Contestedness,Wikipedia Page
R,3,Don_Young
D,2,Tom_O%27Halleran
D,2,Ann_Kirkpatrick
R,1,David_Schweikert
R,1,Debbie_Lesko
D,1,Greg_Stanton
R,2,French_Hill_(politician)
R,1,Doug_LaMalfa
R,2,Tom_McClintock
D,1,Ami_Bera
D,4,Josh_Harder
D,1,Jim_Costa
D,2,TJ_Cox
R,1,Devin_Nunes
D,1,Salud_Carbajal
D,4,Katie_Hill_(politician)
D,4,Gil_Cisneros
D,4,Katie_Porter
D,4,Harley_Rouda
D,2,Mike_Levin
R,2,Duncan_D._Hunter
R,2,Scott_Tipton
D,3,Jason_Crow
D,1,Jahana_Hayes
R,2,Michael_Waltz
D,2,Stephanie_Murphy
R,1,Gus_Bilirakis
D,1,Charlie_Crist
R,4,Ross_Spano
R,2,Vern_Buchanan
R,2,Brian_Mast
R,2,Mario_Diaz-Balart
D,4,Debbie_Mucarsel-Powell
D,3,Donna_Shalala
D,3,Lucy_McBath
R,2,Rob_Woodall
D,4,Sean_Casten
R,3,Mike_Bost
R,3,Rodney_Davis_(politician)
D,4,Lauren_Underwood
R,1,Jackie_Walorski
R,1,Trey_Hollingsworth
D,2,Abby_Finkenauer
D,1,Dave_Loebsack
D,4,Cindy_Axne
R,2,Steve_King
R,4,Steve_Watkins_(politician)
D,2,Sharice_Davids
R,4,Andy_Barr_(U.S._politician)
D,4,Jared_Golden
R,1,Jack_Bergman
R,1,Bill_Huizenga
R,1,Justin_Amash
R,2,Fred_Upton
R,2,Tim_Walberg
D,4,Elissa_Slotkin
D,3,Haley_Stevens
R,4,Jim_Hagedorn_(politician)
D,3,Angie_Craig
D,3,Dean_Phillips
D,2,Collin_Peterson
R,2,Pete_Stauber
R,2,Ann_Wagner
R,3,Greg_Gianforte
R,3,Don_Bacon_(politician)
D,3,Susie_Lee
D,3,Steven_Horsford
D,2,Chris_Pappas_(politician)
D,1,Ann_McLane_Kuster
D,1,Jeff_Van_Drew
D,4,Andy_Kim_(politician)
R,1,Chris_Smith_(New_Jersey_politician)
D,1,Josh_Gottheimer
D,3,Tom_Malinowski
D,2,Mikie_Sherrill
D,1,Deb_Haaland
D,4,Xochitl_Torres_Small
R,2,Lee_Zeldin
R,1,Peter_T._King
D,1,Thomas_Suozzi
D,2,Max_Rose_(politician)
D,1,Sean_Patrick_Maloney
D,4,Antonio_Delgado_(politician)
R,1,Elise_Stefanik
D,4,Anthony_Brindisi
R,1,Tom_Reed_(politician)
R,2,John_Katko
R,2,Chris_Collins_(American_politician)
R,2,George_Holding
R,1,Mark_Walker_(North_Carolina_politician)
R,1,David_Rouzer
R,1,Richard_Hudson_(American_politician)
R,4,Mark_Harris_(North_Carolina_politician)
R,3,Ted_Budd
R,3,Steve_Chabot
R,1,Bob_Gibbs
R,1,Mike_Turner
R,3,Troy_Balderson
R,2,David_Joyce_(politician)
R,1,Steve_Stivers
R,1,Anthony_Gonzalez
D,1,Kendra_Horn
D,1,Kurt_Schrader
R,4,Brian_Fitzpatrick_(American_politician)
D,1,Mary_Gay_Scanlon
D,1,Chrissy_Houlahan
D,2,Susan_Wild
D,2,Matt_Cartwright
R,3,Scott_Perry_(politician)
R,1,Lloyd_Smucker
R,1,Guy_Reschenthaler
R,3,Mike_Kelly_(Pennsylvania_politician)
D,2,Conor_Lamb
D,2,Joe_Cunningham_(American_politician)
R,1,Dan_Crenshaw
R,1,Ron_Wright_(politician)
D,4,Lizzie_Fletcher
R,1,Michael_T._McCaul
R,2,Chip_Roy
R,1,Pete_Olson
R,2,Will_Hurd
R,1,Kenny_Marchant
R,1,Roger_Williams_(American_politician)
R,1,John_Carter_(Texas_politician)
D,4,Colin_Allred
D,4,Ben_McAdams
D,3,Elaine_Luria
R,3,Denver_Riggleman
D,4,Abigail_Spanberger
D,2,Jennifer_Wexton
R,2,Jaime_Herrera_Beutler
R,2,Cathy_McMorris_Rodgers
D,3,Kim_Schrier
R,1,Alex_Mooney
R,2,Carol_Miller_(politician)
R,2,Bryan_Steil
D,1,Ron_Kind
R,1,Glenn_Grothman
